任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
分割,Segmentation,Comparative Study of Probabilistic Atlas and Deep Learning Approaches for Automatic Brain Tissue Segmentation from MRI Using N4 Bias Field Correction and Anisotropic Diffusion Pre-processing Techniques,"Mohammad Imran Hossain, Muhammad Zain Amin, Daniel Tweneboah Anyimadu, Taofik Ahmed Suleiman","08th Nov., 2024","arXiv, 2024",通用/未明确,分割,Paper:http://arxiv.org/abs/2411.05456v1 | GitHub:https://github.com/imran-maia/IBSR_18_BraTSeg_Deep_Learning,（README未提供，详见论文）
分割,Segmentation,Generalizable Single-Source Cross-modality Medical Image Segmentation via Invariant Causal Mechanisms,"Boqi Chen, Yuanzhi Zhu, Yunke Ao, Sebastiano Caprara, Reto Sutter, Gunnar Rätsch, Ender Konukoglu, Anna Susmelj","07th Nov., 2024","WACV, 2025",通用/未明确,分割,Paper:http://arxiv.org/abs/2411.05223v1 | GitHub:https://github.com/ratschlab/ICMSeg,（README未提供，详见论文）
分割,Segmentation,Enhancing Medical Image Segmentation with Deep Learning and Diffusion Models,"Houze Liu, Tong Zhou, Yanlin Xiang, Aoran Shen, Jiacheng Hu, Junliang Du","21th Nov., 2024","arXiv, 2024",扩散ODE,分割,Paper:http://arxiv.org/abs/2411.14353v2,（README未提供，详见论文）
分割,Segmentation,PGDiffSeg: Prior-Guided Denoising Diffusion Model with Parameter-Shared Attention for Breast Cancer Segmentation,"Feiyan Feng, Tianyu Liu, Hong Wang, Jun Zhao, Wei Li, Yanshen Sun","23th Oct., 2024","arXiv, 2024","DDPM类, 扩散ODE",分割,Paper:http://arxiv.org/abs/2410.17812v1,（README未提供，详见论文）
分割,Segmentation,AdaptDiff: Cross-Modality Domain Adaptation via Weak Conditional Semantic Diffusion for Retinal Vessel Segmentation,"Dewei Hu, Hao Li, Han Liu, Jiacheng Wang, Xing Yao, Daiwei Lu, Ipek Oguz","06th Oct., 2024","SASHIMI, 2024",条件扩散,分割,Paper:http://arxiv.org/abs/2410.04648v1 | GitHub:https://github.com/DeweiHu/AdaptDiff,（README未提供，详见论文）
分割,Segmentation,Diffuse-UDA: Addressing Unsupervised Domain Adaptation in Medical Image Segmentation with Appearance and Structure Aligned Diffusion Models,"Haifan Gong, Yitao Wang, Yihan Wang, Jiashun Xiao, Xiang Wan, Haofeng Li","12th Aug., 2024","arXiv, 2024",扩散ODE,分割,Paper:https://arxiv.org/abs/2408.05985,（README未提供，详见论文）
分割,Segmentation,Advancing Medical Image Segmentation: Morphology-Driven Learning with Diffusion Transformer,"Sungmin Kang, Jaeha Song, Jihie Kim","1st Aug., 2024","BMVC, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2408.00347,（README未提供，详见论文）
分割,Segmentation,FDiff-Fusion:Denoising diffusion fusion network based on fuzzy learning for 3D medical image segmentation,"Weiping Ding, Sheng Geng, Haipeng Wang, Jiashuang Huang, Tianyi Zhou","21st Jul., 2024","arXiv, 2024",DDPM类,分割,Paper:https://arxiv.org/abs/2408.02075,（README未提供，详见论文）
分割,Segmentation,Panoptic Segmentation of Mammograms with Text-To-Image Diffusion Model,"Kun Zhao, Jakub Prokop, Javier Montalt Tordera, Sadegh Mohammadi","19th Jul., 2024","DGM4MICCAI, 2024",扩散ODE,分割,Paper:https://arxiv.org/abs/2407.14326 | GitHub:https://github.com/NVlabs/ODISE,（README未提供，详见论文）
分割,Segmentation,Denoising Diffusions in Latent Space for Medical Image Segmentation,"Fahim Ahmed Zaman, Mathews Jacob, Amanda Chang, Kan Liu, Milan Sonka, Xiaodong Wu","17th Jul., 2024","arXiv, 2024","DDPM类, 潜空间/Latent Diffusion",分割,Paper:https://arxiv.org/abs/2407.12952 | GitHub:https://github.com/LDSeg/LDSeg,（README未提供，详见论文）
分割,Segmentation,DiffRect: Latent Diffusion Label Rectification for Semi-supervised Medical Image Segmentation,"Xinyu Liu, Wuyang Li, Yixuan Yuan","13th Jul., 2024","MICCAI, 2024",潜空间/Latent Diffusion,分割,Paper:https://arxiv.org/abs/2407.09918 | GitHub:https://github.com/CUHK-AIM-Group/DiffRect,（README未提供，详见论文）
分割,Segmentation,FairDiff: Fair Segmentation with Point-Image Diffusion,"Wenyi Li, Haoran Xu, Guiyu Zhang, Huan-ang Gao, Mingju Gao, Mengyu Wang, Hao Zhao","8th Jul., 2024","MICCAI, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2407.06250 | GitHub:https://github.com/wenyi-li/FairDiff,（README未提供，详见论文）
分割,Segmentation,Enhancing Label-efficient Medical Image Segmentation with Text-guided Diffusion Models,Chun-Mei Feng,"7th Jul., 2024","MICCAI, 2024",扩散ODE,分割,Paper:https://arxiv.org/abs/2407.05323 | GitHub:https://github.com/chunmeifeng/TextDiff,（README未提供，详见论文）
分割,Segmentation,HiDiff: Hybrid Diffusion Framework for Medical Image Segmentation,"Tao Chen, Chenhui Wang, Zhihao Chen, Yiming Lei, Hongming Shan","3rd Jul., 2024","IEEE TMI, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2407.03548 | GitHub:https://github.com/takimailto/HiDiff,（README未提供，详见论文）
分割,Segmentation,Stable Diffusion Segmentation for Biomedical Images with Single-step Reverse Process,"Tianyu Lin, Zhiguang Chen, Zhonghao Yan, Weijiang Yu, Fudan Zheng","26th Jun., 2024","MICCAI, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2406.18361 | GitHub:https://github.com/lin-tianyu/Stable-Diffusion-Seg,（README未提供，详见论文）
分割,Segmentation,CriDiff: Criss-cross Injection Diffusion Framework via Generative Pre-train for Prostate Segmentation,"Tingwei Liu, Miao Zhang, Leiye Liu, Jialong Zhong, Shuyao Wang, Yongri Piao, Huchuan Lu","20th Jun., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2406.14186 | GitHub:https://github.com/LiuTingWed/CriDiff,（README未提供，详见论文）
分割,Segmentation,Pancreatic Tumor Segmentation as Anomaly Detection in CT Images Using Denoising Diffusion Models,"Reza Babaei, Samuel Cheng, Theresa Thai, Shangqing Zhao","4th Jun., 2024","arXiv, 2024","DDPM类, 扩散ODE",异常检测/定位,Paper:https://arxiv.org/abs/2406.02653,（README未提供，详见论文）
分割,Segmentation,Reliable Source Approximation: Source-Free Unsupervised Domain Adaptation for Vestibular Schwannoma MRI Segmentation,"Hongye Zeng, Ke Zou, Zhihao Chen, Rui Zheng, Huazhu Fu","25th May, 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2405.16102 | GitHub:https://github.com/zenghy96/Reliable-Source-Approximation,（README未提供，详见论文）
分割,Segmentation,CTS: A Consistency-Based Medical Image Segmentation Model,"Kejia Zhang, Lan Zhang, Haiwei Pan, Baolong Yu","14th May, 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2405.09056 | GitHub:https://github.com/LanHEU/CTS,（README未提供，详见论文）
分割,Segmentation,FlowSDF: Flow Matching for Medical Image Segmentation Using Distance Transforms,"Lea Bogensperger, Dominik Narnhofer, Alexander Falk, Konrad Schindler, Thomas Pock","28th May, 2024","IJCV, 2024",流模型/Flow,分割,Paper:http://arxiv.org/abs/2405.18087v2 | GitHub:https://github.com/leabogensperger/FlowSDF,（README未提供，详见论文）
分割,Segmentation,Discrepancy-based Diffusion Models for Lesion Detection in Brain MRI,"Keqiang Fan, Xiaohao Cai, Mahesan Niranjan","8th May, 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2405.04974,（README未提供，详见论文）
分割,Segmentation,DiffSeg: A Segmentation Model for Skin Lesions Based on Diffusion Difference,"Zhihao Shuai, Yinan Chen, Shunqiang Mao, Yihan Zho, Xiaohong Zhang","25th Apr., 2024","arXiv, 2024",扩散ODE,分割,Paper:https://arxiv.org/abs/2404.16474,（README未提供，详见论文）
分割,Segmentation,Analysing Diffusion Segmentation for Medical Images,"Mathias Öttl, Siyuan Mei, Frauke Wilm, Jana Steenpass, Matthias Rübner, Arndt Hartmann, Matthias Beckmann, Peter Fasching, Andreas Maier, Ramona Erber, Katharina Breininger","21st Mar., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2403.11323,（README未提供，详见论文）
分割,Segmentation,Diffusion and Multi-Domain Adaptation Methods for Eosinophil Segmentation,"Kevin Lin, Donald Brown, Sana Syed, Adam Greene","17th Mar., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2403.11323,（README未提供，详见论文）
分割,Segmentation,Polyp-DDPM: Diffusion-Based Semantic Polyp Synthesis for Enhanced Segmentation,"Zolnamar Dorjsembe, Hsing-Kuo Pao, Furen Xiao","6th Feb., 2024","arXiv, 2024",DDPM类,分割,Paper:https://arxiv.org/abs/2402.04031 | Github:https://github.com/mobaidoctor/polyp-ddpm,（README未提供，详见论文）
分割,Segmentation,Surf-CDM: Score-Based Surface Cold-Diffusion Model For Medical Image Segmentation,"Fahim Ahmed Zaman, Mathews Jacob, Amanda Chang, Kan Liu, Milan Sonka, Xiaodong Wu","19th Dec., 2023","arXiv, 2023","Score-based, 扩散ODE",分割,Paper:https://arxiv.org/abs/2312.12649,（README未提供，详见论文）
分割,Segmentation,LSegDiff: A Latent Diffusion Model for Medical Image Segmentation,"Fahim Ahmed Zaman, Mathews Jacob, Amanda Chang, Kan Liu, Milan Sonka, Xiaodong Wu","7th Dec., 2023","SOICT, 2023","潜空间/Latent Diffusion, 扩散ODE",分割,Paper:https://scholar.archive.org/work/2brq7udaqbglnfnmy44drkt55i/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3628797.3629010,（README未提供，详见论文）
分割,Segmentation,Robust semi-supervised segmentation with timestep ensembling diffusion models,"Margherita Rosnati, Melanie Roschewitz, Ben Glocker","13th Nov., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2311.07421,（README未提供，详见论文）
分割,Segmentation,A 3D generative model of pathological multi-modal MR images and segmentations,"Virginia Fernandez, Walter Hugo Lopez Pinaya, Pedro Borges, Mark S. Graham, Tom Vercauteren, M. Jorge Cardoso","8th Nov., 2023","arXiv, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2311.04552 | Github:https://github.com/virginiafdez/brainSPADE3D_rel,（README未提供，详见论文）
分割,Segmentation,One-shot Localization and Segmentation of Medical Images with Foundation Models,"Deepa Anand, Gurunath Reddy M, Vanika Singhal, Dattesh D. Shanbhag, Shriram KS, Uday Patil, Chitresh Bhushan, Kavitha Manickam, Dawei Gui, Rakesh Mullick, Avinash Gopal, Parminder Bhatia, Taha Kass-Hout","28th Oct., 2023","arXiv, 2023",通用/未明确,分割,Paper:http://arxiv.org/abs/2310.18642v1,（README未提供，详见论文）
分割,Segmentation,Towards Generic Semi-Supervised Framework for Volumetric Medical Image Segmentation,"Haonan Wang, Xiaomeng Li","17th Oct., 2023","NeurIPS, 2023",通用/未明确,分割,Paper:https://openreview.net/forum?id=NibgkUin5n | Github:https://github.com/xmed-lab/GenericSSL,（README未提供，详见论文）
分割,Segmentation,Certification of Deep Learning Models for Medical Image Segmentation,"Othmane Laousy, Alexandre Araujo, Guillaume Chassagnon, Nikos Paragios, Marie-Pierre Revel, Maria Vakalopoulou","5th Oct., 2023","MICCAI, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2310.03664 | Github:https://github.com/othmanela/medical_cert_seg,（README未提供，详见论文）
分割,Segmentation,Introducing Shape Prior Module in Diffusion Model for Medical Image Segmentation,"Zhiqing Zhang, Guojia Fan, Tianyong Liu, Nan Li, Yuyang Liu, Ziyu Liu, Canwei Dong, Shoujun Zhou","12th Aug., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2309.05929,（README未提供，详见论文）
分割,Segmentation,A Recycling Training Strategy for Medical Image Segmentation with Diffusion Denoising Models,"Yunguan Fu, Yiwen Li, Shaheer U Saeed, Matthew J Clarkson, Yipeng Hu","30th Aug., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2308.16355 | Github:https://github.com/mathpluscode/ImgX-DiffSeg,（README未提供，详见论文）
分割,Segmentation,Masked Diffusion as Self-supervised Representation Learner,"Zixuan Pan, Jianxu Chen, Yiyu Shi","10th Aug., 2023","arXiv, 2023",掩码/Masked机制,未归纳,Paper:https://arxiv.org/abs/2308.05695,（README未提供，详见论文）
分割,Segmentation,DermoSegDiff: A Boundary-aware Segmentation Diffusion Model for Skin Lesion Delineation,"Afshin Bozorgpour, Yousef Sadegheih, Amirhossein Kazerouni, Reza Azad, Dorit Merhof","5th Aug., 2023","MICCAI Workshop, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2308.02959 | Github:https://github.com/mindflow-institue/DermoSegDiff,（README未提供，详见论文）
分割,Segmentation,C-DARL: Contrastive diffusion adversarial representation learning for label-free blood vessel segmentation,"Boah Kim, Yujin Oh, Bradford J. Wood, Ronald M. Summers, Jong Chul Ye","31st Jul., 2023","arXiv, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2308.00193,（README未提供，详见论文）
分割,Segmentation,Pre-Training with Diffusion models for Dental Radiography Segmentation,"Jérémy Rousseau, Christian Alaka, Emma Covili, Hippolyte Mayard, Laura Misrachi, Willy Au","26th Jul., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2307.14066,（README未提供，详见论文）
分割,Segmentation,"FEDD -- Fair, Efficient, and Diverse Diffusion-based Lesion Segmentation and Malignancy Classification","Héctor Carrión, Narges Norouzi","21st Jul., 2023","MICCAI, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2307.11654 | Github:https://github.com/hectorcarrion/fedd,（README未提供，详见论文）
分割,Segmentation,Annotator Consensus Prediction for Medical Image Segmentation with Diffusion Models,"Tomer Amit, Shmuel Shichrur, Tal Shaharbany, and Lior Wolf","15th Jun., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2306.09004 | Github:https://github.com/tomeramit/annotator-consensus-prediction,（README未提供，详见论文）
分割,Segmentation,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,"Xinrong Hu, Yu-Jen Chen, Tsung-Yi Ho, Yiyu Shi","6th Jun., 2023","arXiv, 2023","条件扩散, 扩散ODE",分割,Paper:https://arxiv.org/abs/2306.03878 | Github:https://github.com/xhu248/cond_ddpm_wsss,（README未提供，详见论文）
分割,Segmentation,Brain tumor segmentation using synthetic MR images -- A comparison of GANs and diffusion models,"Muhammad Usman Akbar, Måns Larsson, and Anders Eklund","5th Jun., 2023","arXiv, 2023","扩散ODE, GAN",分割,Paper:https://arxiv.org/abs/2306.02986,（README未提供，详见论文）
分割,Segmentation,Semi-supervised Brain Tumor Segmentation Using Diffusion Models,"Ahmed Alshenoudy, Bertram Sabrowsky-Hirsch, Stefan Thumfart, Michael Giretzlehner, Erich Kobler","1st Jun., 2023","AIAI, 2023",扩散ODE,分割,Paper:https://link.springer.com/chapter/10.1007/978-3-031-34111-3_27 | Github:https://github.com/risc-mi/braintumor-ddpm,（README未提供，详见论文）
分割,Segmentation,Multi-Level Global Context Cross Consistency Model for Semi-Supervised Ultrasound Image Segmentation with Diffusion Model,"Fenghe Tang, Jianrui Ding, Lingtao Wang, Min Xian, Chunping Ning","16th May, 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2305.09447 | Github:https://github.com/FengheTan9/Multi-Level-Global-Context-Cross-Consistency,（README未提供，详见论文）
分割,Segmentation,Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,"Nurislam Tursynbek, Marc Niethammer","28th Apr., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2305.00067,（README未提供，详见论文）
分割,Segmentation,DiffuseExpand: Expanding dataset for 2D medical image segmentation using diffusion models,"Shitong Shao, Xiaohan Yuan, Zhen Huang, Ziming Qiu, Shuai Wang, Kevin Zhou","26th Apr., 2023","arXiv, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2304.13416 | Github:https://anonymous.4open.science/r/DiffuseExpand/README.md,（README未提供，详见论文）
分割,Segmentation,Ambiguous Medical Image Segmentation using Diffusion Models,"Aimon Rahman, Jeya Maria Jose Valanarasu, Ilker Hacihaliloglu, Vishal M Patel","10th Apr., 2023","CVPR, 2023",扩散ODE,分割,Paper:https://arxiv.org/abs/2304.04745 | Github:https://github.com/aimansnigdha/Ambiguous-Medical-Image-Segmentation-using-Diffusion-Models,（README未提供，详见论文）
分割,Segmentation,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,"Tao Chen, Chenhui Wang, Hongming Shan","10th Apr., 2023","arXiv, 2023","条件扩散, 扩散ODE",分割,Paper:https://arxiv.org/abs/2304.04429,（README未提供，详见论文）
分割,Segmentation,Diffusion Models for Memory-efficient Processing of 3D Medical Images,"Florentin Bieder, Julia Wolleb, Alicia Durrer, Robin Sandkühler, Philippe C. Cattin","27th Mar., 2023","MIDL, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2303.15288,（README未提供，详见论文）
分割,Segmentation,Distribution Aligned Diffusion and Prototype-guided network for Unsupervised Domain Adaptive Segmentation,"Haipeng Zhou, Lei Zhu, Yuyin Zhou","22nd Mar., 2023","arXiv, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2303.12313 | Github:https://github.com/haipengzhou856/DPNet,（README未提供，详见论文）
分割,Segmentation,Diff-UNet: A Diffusion Embedded Network for Volumetric Segmentation,"Zhaohu Xing, Liang Wan, Huazhu Fu, Guang Yang, Lei Zhu","18th Mar., 2023","arXiv, 2023",通用/未明确,分割,Paper:https://arxiv.org/abs/2303.10326 | Github:https://github.com/ge-xing/Diff-UNet,（README未提供，详见论文）
分割,Segmentation,Stochastic Segmentation with Conditional Categorical Diffusion Models,"Lukas Zbinden, Lars Doorenbos, Theodoros Pissas, Raphael Sznitman, Pablo Márquez-Neila","15th Mar., 2023","ICCV, 2023","条件扩散, 扩散ODE",分割,Paper:https://openaccess.thecvf.com/content/ICCV2023/html/Zbinden_Stochastic_Segmentation_with_Conditional_Categorical_Diffusion_Models_ICCV_2023_paper.html | Github:https://github.com/LarsDoorenbos/ccdm-stochastic-segmentation,（README未提供，详见论文）
